average_rating_differences,black_lose_perc,black_win_perc,current_elo,date_of_birth,losses,player_name,total,white_lose_perc,white_win_perc,wins
114.3,0.4,0.3,3408,1996-03-14,222,Wang Yuanjun,573,0.2,0.1,351
70.1,0.2,0.3,3407,1993-09-12,147,Sun Tengyu,286,0.1,0.4,139
-39.4,0.5,0.1,3406,1991-03-08,380,Zhou Ruiyang,916,0.3,0.1,536
102.9,0.1,0.4,3416,1996-10-07,198,Choi Jeong,612,0.2,0.3,414
-26.5,0.2,0.2,3409,1987-08-07,212,Hong Seongji,429,0.3,0.3,217
-0.5,0.3,0.2,3410,1997-11-26,192,Lin Junyan,482,0.3,0.2,290
-114.5,0.3,0.0,3400,1994-10-30,122,Xia Chenkun,250,0.6,0.1,128
-42.8,0.4,0.2,3402,1991-11-26,134,Kang Yootaek,294,0.2,0.2,160
-131.1,0.8,0.2,3405,1992-08-06,71,Cao Xiaoyang,127,0.0,0.0,56
-9.4,0.2,0.5,3399,1994-11-29,135,Kang Seungmin,244,0.1,0.2,109
56.5,0.3,0.5,3400,1986-07-02,215,Heo Yongho,455,0.1,0.1,240
5.1,0.2,0.2,3394,1990-07-31,218,Wu Guangya,430,0.3,0.3,212
-5.9,0.4,0.5,3392,1995-01-30,211,Na Hyun,467,0.0,0.1,256
-65.7,0.2,0.4,3391,1992-08-11,171,Kim Seongjae,321,0.3,0.1,150
-87.0,0.3,0.1,3391,1997-07-09,70,An Jungki,144,0.2,0.4,74
-27.1,0.2,0.1,3390,1997-04-10,79,Choi Jaeyoung,152,0.4,0.3,73
-42.2,0.2,0.3,3388,1992-05-08,125,Lee Wonyoung,239,0.3,0.2,114
-13.3,0.1,0.6,3390,1999-02-08,113,Wang Zejin,216,0.3,0.0,103
-108.5,0.6,0.0,3385,1996-03-01,9,Heo Youngrak,17,0.2,0.2,8
-60.0,0.3,0.0,3384,2001-07-18,30,Liu Yuhang,59,0.4,0.3,29
193.2,0.1,0.4,3384,2000-06-15,164,Chen Qirui,445,0.0,0.5,281
-79.1,0.1,0.4,3379,1996-01-26,64,Kim Jinhwi,125,0.3,0.2,61
41.8,0.1,0.4,3373,1994-03-15,181,Ida Atsushi,431,0.4,0.1,250
-83.2,0.5,0.1,3372,2002-08-23,32,Huang Mingyu,57,0.0,0.4,25
-2.6,0.3,0.0,3373,2001-05-19,71,Park Sangjin,143,0.2,0.5,72
-37.3,0.6,0.3,3371,1991-04-12,127,Kim Junghyun,254,0.0,0.1,127
31.4,0.4,0.0,3370,1983-02-03,464,Gu Li,1214,0.1,0.5,750
-199.3,0.3,0.1,3368,1996-11-27,72,Hu Yuhan,122,0.3,0.3,50
-103.9,0.5,0.3,3366,2000-10-12,98,Jiang Qirun,169,0.2,0.0,71
-29.8,0.1,0.2,3368,1998-10-04,42,Sim Jaeik,68,0.4,0.3,26
-46.6,0.1,0.1,3370,1986-07-02,213,Paek Hongseok,462,0.6,0.2,249
